college,branch,YEAR,GOPEN,LOPEN,GOBC,LOBC,GSC,LSC,GST,LST,GVJDT,LVJDT,GNTB,LNTB,GNTC,LNTC,GNTD,LNTD,P,D
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2017,317,532,318,1559,584,7132,0,0,0,0,306,0,856,0,0,0,6061,0
"Government College Of Engineering,Amravati",Mechanical Engineering[First Shift],2018,240,1215,277,1600,585,6743,0,0,0,0,0,0,1166,0,0,0,17866,1931
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2015,522,333,1473,594,1729,0,4348,0,0,0,5293,0,0,4093,0,0,15789,0
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2016,406,429,494,515,2277,1259,4241,0,0,0,0,0,571,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2017,269,238,327,276,476,1955,14567,0,0,0,0,0,0,0,0,0,5099,0
"Government College of Engineering, Aurangabad ",Civil Engineering[First Shift],2018,303,245,530,307,2217,0,1955,0,0,0,335,0,0,0,0,0,10419,0
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2015,621,172,729,708,1132,0,0,15781,0,0,3979,0,3191,0,0,0,6802,0
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2016,1103,525,2122,0,5197,3288,0,0,0,0,6168,0,0,3689,0,0,0,0
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2017,749,627,1989,1277,2094,4386,23550,0,0,0,0,0,4085,0,0,0,0,19286
"Government College of Engineering, Aurangabad ",Computer Science and Engineering[First Shift],2018,825,266,1970,1487,4463,2492,27537,0,0,0,0,0,0,0,7110,0,24894,15564
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2015,1868,1079,1990,1943,3318,2353,10222,0,0,0,0,0,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2016,1103,525,2122,0,5197,3288,0,0,0,0,6168,0,0,3689,0,0,0,0
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2017,749,627,1989,1277,2094,4386,23550,0,0,0,0,0,4085,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Information Technology[First Shift],2018,1974,940,2512,2150,5986,0,27574,2795,0,0,0,0,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2015,477,348,707,667,1002,0,10978,0,0,0,3114,0,0,0,0,0,6819,0
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2016,656,309,748,694,1838,0,27092,8054,0,0,2643,0,0,1008,3238,0,851,0
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2017,1774,921,3205,2023,12836,11635,25026,0,0,0,0,0,8861,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Electrical Engineering[First Shift],2018,457,220,559,463,1095,0,6259,0,0,0,0,8111,953,0,0,0,12236,0
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2015,6289,84,552,295,739,0,0,11239,0,0,3370,0,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2016,853,506,1011,968,2253,0,9298,0,4893,0,0,0,0,3862,0,0,0,0
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2017,1512,1267,4358,1928,5440,5009,19868,5168,0,0,0,0,3301,0,0,0,1492,0
"Government College of Engineering, Aurangabad ",Electronics and Telecommunication Engg[First Shift],2018,1512,1267,4358,1928,5440,5009,19868,5168,0,0,0,0,3301,0,0,0,1492,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2015,338,1903,419,1970,1149,5662,11080,0,0,0,0,0,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2016,289,394,343,1100,1370,0,6167,0,0,0,0,10004,0,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2017,291,1175,329,3202,707,0,0,17859,0,0,530,0,1917,0,0,0,0,0
"Government College of Engineering, Aurangabad ",Mechanical Engineering[First Shift],2018,170,903,176,1085,790,3335,0,21234,0,0,557,0,0,0,0,0,24839,0
"Government College of Engineering, Jalgaon",Civil Engineering[First Shift],2015,1581,677,1487,0,2439,15026,17585,0,0,0,0,0,0,0,3229,0,0,4873
