ALGMN,Diploma,SSC,Gender
399,91.53,93.2,Female
400,91.53,88.6,Male
401,91.53,87,Female
402,91.52,88.2,Male
403,93.6,99,female
404,91.5,93.2,Female
405,91.5,92,Male
406,91.5,88.73,Male
407,91.5,88.6,Male
408,91.5,87.8,Female
409,91.48,90,Male
410,91.47,94.6,Male
411,91.47,89.2,Female
412,91.47,83,Male
413,91.47,79.2,Male
414,91.46,94,Male
415,91.45,93.4,Female
416,91.45,89,Male
417,91.45,82.8,Male
418,91.45,81,Female
419,91.45,80.36,Female
420,91.44,93.2,Female
421,91.44,92.2,Female
422,91.44,92.2,Male
423,91.44,92,Female
424,91.44,91.6,Female
425,91.44,90.8,Male
426,91.44,89,Male
427,91.41,95,Male
428,91.41,92.6,Male
429,91.41,92.4,Male
430,91.41,92.2,Male
431,91.41,87.2,Female
432,91.41,81.2,Male
433,91.4,91.2,Male
434,91.39,95.4,Female
435,91.38,94.6,Male
436,91.38,94.2,Male
437,91.38,90,Female
438,91.36,87,Male
439,91.35,94.8,Male
440,91.35,93.6,Female
441,91.35,90.8,Male
442,91.35,88,Male
443,91.35,87.8,Female
444,91.35,86.8,Male
445,91.31,95,Female
446,91.31,92.6,Male
447,91.31,90,Female
448,91.31,89.8,Male
449,91.31,87.27,Female
450,91.31,78.4,Male
451,91.3,95.8,Male
452,91.29,93.2,Male
453,91.29,89.2,Male
454,91.29,88.6,Female
455,91.29,84.8,Male
456,91.28,91.8,Male
457,91.27,89.2,Female
458,91.27,87.67,Male
459,91.25,93.4,Male
460,91.25,92,Female
461,91.25,91.2,Female
462,91.25,91.2,Male
463,91.25,90.8,Female
464,91.25,85.2,Female
465,91.24,93.6,Female
466,91.24,87.2,Female
467,91.23,86.91,Male
468,91.22,88.8,Male
469,91.21,97,Male
470,91.21,96.6,Female
471,91.21,90,Male
472,91.21,84.2,Female
473,91.2,95.4,Male
474,91.2,91,Female
475,91.19,96,Male
476,91.19,94.8,Female
477,91.19,94.8,Male
478,91.19,94.4,Female
479,91.19,92.4,Male
480,91.19,90.6,Male
481,91.19,90.4,Male
482,91.19,88.6,Female
483,91.19,87.8,Female
484,91.19,86.2,Female
485,91.18,93.8,Female
486,91.18,86.8,Male
487,91.18,71.71,Female
488,91.15,89.4,Female
489,91.15,78.2,Male
490,91.13,95.2,Female
491,91.13,93.8,Female
492,91.13,91,Female
493,91.13,88,Female
494,91.13,82.36,Male
495,91.12,91.82,Male
496,91.12,88.8,Female
497,91.1,86.8,Female
498,91.1,85.6,Male
499,91.09,92.8,Female
500,91.09,92.2,Female
501,91.09,90.6,Female
502,91.07,84.91,Male
503,91.06,97.2,Female
504,91.06,97,Female
505,91.06,94,Male
506,91.06,94,Female
507,91.06,92.4,Female
508,91.06,92.2,Male
509,91.06,91.8,Female
510,91.06,91.4,Male
511,91.06,88.8,Female
512,91.06,86.6,Female
513,91.06,86.55,Female
514,91.06,84.8,Female
515,91.05,90.33,Female
516,91.04,90.4,Male
517,91.03,94.4,Male
518,91.03,93.6,Female
519,91.03,91.8,Female
520,91,95.4,Female
521,91,95.2,Female
522,91,94.8,Male
523,91,93.6,Female
524,91,92,Female
525,91,91.4,Male
526,91,89.6,Female
527,91,80.4,Female
528,91,77.83,Male
529,91,72.4,Male
530,90.98,93,Male
531,90.97,94.4,Female
532,90.97,82.2,Female
533,90.95,91.27,Female
534,90.94,91.2,Male
535,90.94,90.6,Female
536,90.94,90.4,Male
537,90.94,89.4,Female
538,90.94,88.6,Male
539,90.94,88.2,Female
540,90.94,87.2,Female
541,90.94,84.2,Female
542,90.94,83.2,Female
543,90.93,93.8,Male
544,90.92,95.2,Male
545,90.91,88.8,Female
546,90.91,82.8,Male
547,90.91,80.2,Male
548,90.9,87.45,Female
549,90.88,94,Female
550,90.88,93.6,Female
551,90.88,93.2,Male
552,90.88,92.6,Male
553,90.88,90.6,Female
554,90.88,90.2,Female
555,90.88,89.4,Male
556,90.88,89.2,Female
557,90.88,88.4,Male
558,90.88,87.8,Male
559,90.88,86.4,Female
560,90.88,83,Male
561,90.88,78,Male
562,90.87,80.2,Female
563,90.85,90.6,Female
564,90.85,90.2,Female
565,90.82,91.8,Female
566,90.82,90.8,Male
567,90.82,87.8,Male
568,90.82,85.45,Male
569,90.82,79.8,Female
570,90.82,79.2,Female
571,90.81,95.6,Male
572,90.81,91.2,Female
573,90.81,91.2,Male
574,90.81,91,Female
575,90.81,89.6,Male
576,90.81,89.4,Female
577,90.81,85.09,Female
578,90.8,93.8,Male
579,90.8,87.8,Male
580,90.8,85.82,Male
581,90.79,93.4,Female
582,90.79,89.4,Female
583,90.79,83.45,Female
584,90.79,76.2,Male
585,90.76,96.4,Male
586,90.76,93.8,Male
587,90.76,92.6,Female
588,90.76,90.4,Female
589,90.76,85.8,Female
590,90.76,79.2,Male
591,90.74,92,Male
592,90.73,92.2,Male
593,90.73,92.2,Female
594,90.73,90.6,Male
595,90.73,89.4,Female
596,90.73,81.09,Male
597,90.71,96.8,Female
598,90.71,96.4,Male
